予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数,1着回数,2着回数
0,,2025,7,17,22,12,,5,4045,45,47,B1,4.69,33.82,30.51,25.0,2.9,1.0,4.0,21.0,18.0
0,,2025,7,17,22,12,,6,3579,52,48,B1,5.05,44.19,36.51,0.0,3.9,0.0,0.0,15.0,12.0
0,,2025,7,17,20,1,,1,5140,24,48,B1,4.22,35.42,12.5,27.2,3.5,2.0,1.0,7.0,10.0
0,,2025,7,17,20,1,,2,5138,25,52,B1,2.53,34.87,18.52,8.3,4.4,0.0,1.0,1.0,4.0
0,,2025,7,17,20,1,,3,4632,36,52,B1,4.58,21.09,50.0,22.2,2.9,0.0,4.0,7.0,21.0
0,,2025,7,17,20,1,,4,3950,49,56,B1,4.13,55.22,29.73,10.0,3.2,1.0,0.0,3.0,9.0
0,,2025,7,17,20,1,,5,4498,37,54,B1,4.82,35.86,37.14,28.5,3.9,4.0,0.0,20.0,13.0
0,,2025,7,17,20,1,,6,5412,19,43,B2,1.2,26.43,42.86,0.0,0.0,0.0,0.0,0.0,0.0
1,,2025,7,17,20,2,,1,4529,36,55,A2,4.95,35.46,25.0,76.4,2.3,11.0,2.0,18.0,19.0
0,,2025,7,17,20,2,,2,3277,58,52,B1,4.49,35.66,40.0,35.2,4.3,3.0,3.0,10.0,13.0
0,,2025,7,17,20,2,,3,3957,48,54,B1,5.27,32.03,53.57,27.7,3.4,1.0,4.0,9.0,18.0
0,,2025,7,17,20,2,,4,5314,24,54,B2,2.04,37.59,35.71,0.0,3.6,0.0,0.0,0.0,0.0
0,,2025,7,17,20,2,,5,4592,44,52,B1,4.81,31.03,11.54,0.0,3.6,0.0,0.0,5.0,18.0
0,,2025,7,17,20,2,,6,4004,47,52,B1,4.55,33.11,67.86,0.0,4.6,0.0,0.0,7.0,18.0
1,,2025,7,17,20,3,,1,4728,37,54,B1,4.65,28.29,9.68,76.4,2.2,12.0,1.0,20.0,8.0
0,,2025,7,17,20,3,,2,3982,47,56,B1,5.0,34.93,42.86,15.3,3.7,0.0,2.0,4.0,10.0
0,,2025,7,17,20,3,,3,4106,45,52,B1,3.66,31.43,33.33,6.6,3.7,0.0,1.0,8.0,9.0
0,,2025,7,17,20,3,,4,4731,36,52,B1,5.64,36.73,25.93,11.7,3.4,0.0,2.0,8.0,13.0
0,,2025,7,17,20,3,,5,4906,30,54,A2,5.81,28.19,39.29,31.5,3.1,1.0,5.0,21.0,23.0
0,,2025,7,17,20,3,,6,5084,26,53,A1,7.62,29.14,30.0,31.8,3.5,3.0,4.0,54.0,24.0
1,,2025,7,17,20,4,,1,4214,40,55,A2,5.41,38.51,37.93,78.9,2.2,12.0,3.0,19.0,14.0
0,,2025,7,17,20,4,,2,4943,34,55,B1,4.49,37.09,32.14,13.3,3.7,1.0,1.0,10.0,6.0
0,,2025,7,17,20,4,,3,3681,52,51,B1,5.16,25.35,27.59,16.6,3.3,0.0,2.0,8.0,8.0
0,,2025,7,17,20,4,,4,3617,52,54,B1,3.59,22.92,15.15,23.5,3.4,1.0,3.0,15.0,8.0
0,,2025,7,17,20,4,,5,3736,51,56,B1,4.49,37.09,29.63,13.0,3.9,2.0,1.0,9.0,12.0
0,,2025,7,17,20,4,,6,4220,43,56,A2,5.55,30.71,36.67,0.0,4.4,0.0,0.0,18.0,24.0
1,,2025,7,17,20,5,,1,4472,38,55,A1,6.88,25.0,37.93,87.1,2.7,23.0,4.0,43.0,41.0
0,,2025,7,17,20,5,,2,4506,37,53,A2,5.78,31.37,37.93,47.0,2.6,2.0,6.0,29.0,22.0
0,,2025,7,17,20,5,,3,5138,25,52,B1,2.53,34.87,18.52,22.2,4.4,1.0,1.0,1.0,4.0
0,,2025,7,17,20,5,,4,4570,37,55,A1,6.64,32.88,58.62,25.0,2.5,3.0,2.0,32.0,30.0
0,,2025,7,17,20,5,,5,5063,27,54,B1,4.79,45.11,41.94,0.0,4.6,0.0,0.0,11.0,7.0
0,,2025,7,17,20,5,,6,5361,18,52,B2,1.62,37.32,41.38,0.0,4.3,0.0,0.0,0.0,0.0
1,,2025,7,17,20,6,,1,5162,25,44,B2,3.78,36.49,33.33,66.6,3.0,4.0,0.0,5.0,1.0
0,,2025,7,17,20,6,,2,4994,27,45,A2,6.0,25.53,25.0,50.0,3.8,2.0,7.0,8.0,19.0
0,,2025,7,17,20,6,,3,5140,24,48,B1,4.22,35.42,12.5,7.6,3.6,0.0,1.0,7.0,10.0
0,,2025,7,17,20,6,,4,4347,40,45,A2,6.32,43.61,25.93,31.2,3.3,3.0,2.0,23.0,13.0
0,,2025,7,17,20,6,,5,5412,19,43,B2,1.2,26.43,42.86,0.0,0.0,0.0,0.0,0.0,0.0
0,,2025,7,17,20,6,,6,5314,24,54,B2,2.04,37.59,35.71,0.0,4.0,0.0,0.0,0.0,0.0
1,,2025,7,17,20,7,,1,4451,37,53,A1,6.46,45.26,34.48,83.3,2.0,16.0,9.0,28.0,32.0
0,,2025,7,17,20,7,,2,4731,36,52,B1,5.64,36.73,25.93,31.2,3.5,1.0,4.0,8.0,13.0
0,,2025,7,17,20,7,,3,3950,49,56,B1,4.13,55.22,29.73,30.0,3.6,0.0,3.0,3.0,9.0
0,,2025,7,17,20,7,,4,4004,47,52,B1,4.55,33.11,67.86,13.0,2.7,1.0,2.0,7.0,18.0
0,,2025,7,17,20,7,,5,4925,32,54,A2,5.69,33.81,32.14,29.4,2.3,1.0,4.0,19.0,22.0
0,,2025,7,17,20,7,,6,4632,36,52,B1,4.58,21.09,50.0,5.2,5.0,0.0,1.0,7.0,21.0
1,,2025,7,17,20,8,,1,4241,40,53,A2,5.36,40.0,39.29,90.0,2.9,12.0,6.0,15.0,35.0
1,,2025,7,17,20,8,,2,5084,26,53,A1,7.62,29.14,30.0,55.0,3.5,4.0,7.0,54.0,24.0
0,,2025,7,17,20,8,,3,4592,44,52,B1,4.81,31.03,11.54,10.5,2.6,0.0,2.0,5.0,18.0
0,,2025,7,17,20,8,,4,3681,52,51,B1,5.16,25.35,27.59,27.2,3.5,2.0,1.0,8.0,8.0
0,,2025,7,17,20,8,,5,3277,58,52,B1,4.49,35.66,40.0,0.0,3.5,0.0,0.0,10.0,13.0
0,,2025,7,17,20,8,,6,3617,52,54,B1,3.59,22.92,15.15,0.0,4.7,0.0,0.0,15.0,8.0
1,,2025,7,17,20,9,,1,4906,30,54,A2,5.81,28.19,39.29,82.3,3.1,10.0,4.0,21.0,23.0
0,,2025,7,17,20,9,,2,5063,27,54,B1,4.79,45.11,41.94,17.6,3.7,2.0,1.0,11.0,7.0
0,,2025,7,17,20,9,,3,4498,37,54,B1,4.82,35.86,37.14,50.0,3.9,4.0,5.0,20.0,13.0
0,,2025,7,17,20,9,,4,4529,36,55,A2,4.95,35.46,25.0,40.0,2.7,1.0,5.0,18.0,19.0
0,,2025,7,17,20,9,,5,3982,47,56,B1,5.0,34.93,42.86,7.6,3.8,0.0,1.0,4.0,10.0
0,,2025,7,17,20,9,,6,4551,36,54,A2,5.41,21.83,22.58,5.8,3.7,0.0,1.0,20.0,23.0
1,,2025,7,17,20,10,,1,4220,43,56,A2,5.55,30.71,36.67,68.4,2.8,8.0,5.0,18.0,24.0
0,,2025,7,17,20,10,,2,3736,51,56,B1,4.49,37.09,29.63,30.0,4.6,0.0,6.0,9.0,12.0
1,,2025,7,17,20,10,,3,4570,37,55,A1,6.64,32.88,58.62,61.1,2.3,3.0,8.0,32.0,30.0
0,,2025,7,17,20,10,,4,4472,38,55,A1,6.88,25.0,37.93,44.4,2.7,3.0,5.0,43.0,41.0
0,,2025,7,17,20,10,,5,4994,27,45,A2,6.0,25.53,25.0,14.2,3.7,0.0,2.0,8.0,19.0
0,,2025,7,17,20,10,,6,4728,37,54,B1,4.65,28.29,9.68,0.0,4.8,0.0,0.0,20.0,8.0
1,,2025,7,17,20,11,,1,4925,32,54,A2,5.69,33.81,32.14,62.5,2.9,8.0,2.0,19.0,22.0
1,,2025,7,17,20,11,,2,4347,40,45,A2,6.32,43.61,25.93,75.0,3.8,3.0,6.0,23.0,13.0
0,,2025,7,17,20,11,,3,4506,37,53,A2,5.78,31.37,37.93,48.0,1.8,5.0,7.0,29.0,22.0
0,,2025,7,17,20,11,,4,4106,45,52,B1,3.66,31.43,33.33,21.0,3.6,2.0,2.0,8.0,9.0
0,,2025,7,17,20,11,,5,4214,40,55,A2,5.41,38.51,37.93,13.3,3.3,1.0,1.0,19.0,14.0
0,,2025,7,17,20,11,,6,4451,37,53,A1,6.46,45.26,34.48,18.7,4.1,1.0,2.0,28.0,32.0
1,,2025,7,17,20,12,,1,3783,49,54,A1,7.02,39.73,31.03,95.4,3.6,18.0,3.0,23.0,21.0
0,,2025,7,17,20,12,,2,4361,40,53,A1,6.92,36.73,32.14,42.1,3.0,2.0,6.0,23.0,32.0
1,,2025,7,17,20,12,,3,4826,31,53,A1,6.98,46.62,36.67,50.0,2.3,9.0,6.0,62.0,17.0
0,,2025,7,17,20,12,,4,4208,42,48,A1,6.84,29.08,16.67,50.0,3.2,4.0,5.0,39.0,25.0
0,,2025,7,17,20,12,,5,4834,37,50,B1,5.11,26.21,33.33,6.4,3.4,1.0,1.0,19.0,21.0
0,,2025,7,17,20,12,,6,4082,45,52,B1,5.08,34.93,35.71,7.6,3.8,1.0,0.0,9.0,16.0
1,,2025,7,17,19,1,,1,4890,36,53,B1,5.03,36.62,34.85,94.1,2.7,13.0,3.0,14.0,21.0
0,,2025,7,17,19,1,,2,4143,44,57,B1,4.55,26.15,40.32,52.9,3.1,3.0,6.0,13.0,14.0
0,,2025,7,17,19,1,,3,4005,47,55,B1,2.97,26.23,26.67,7.1,3.0,1.0,0.0,5.0,3.0
0,,2025,7,17,19,1,,4,4813,35,52,B1,4.08,59.32,33.87,21.4,3.6,2.0,1.0,11.0,20.0
0,,2025,7,17,19,1,,5,3807,50,51,B1,4.7,36.23,44.44,22.2,3.9,2.0,2.0,15.0,6.0
0,,2025,7,17,19,1,,6,4121,43,52,A2,5.94,36.36,32.69,13.0,2.9,2.0,1.0,35.0,30.0
1,,2025,7,17,19,2,,1,4425,39,55,B1,4.74,35.0,25.0,64.2,3.7,5.0,4.0,13.0,18.0
0,,2025,7,17,19,2,,2,4981,28,52,B1,5.83,31.34,35.94,57.1,3.7,4.0,4.0,15.0,12.0
0,,2025,7,17,19,2,,3,3805,51,53,B1,5.59,36.07,11.29,21.0,1.8,0.0,4.0,12.0,25.0
0,,2025,7,17,19,2,,4,5143,24,53,B1,4.81,20.0,32.31,11.1,3.7,0.0,1.0,8.0,8.0
0,,2025,7,17,19,2,,5,4367,39,51,B1,4.63,45.0,49.18,23.5,4.2,0.0,4.0,9.0,15.0
0,,2025,7,17,19,2,,6,3467,56,54,B1,3.65,25.0,33.85,0.0,3.1,0.0,0.0,6.0,9.0
1,,2025,7,17,19,3,,1,3315,59,53,B1,5.26,39.66,28.07,57.1,3.3,6.0,2.0,11.0,17.0
0,,2025,7,17,19,3,,2,5066,26,53,B1,5.49,28.13,29.03,42.1,3.4,3.0,5.0,18.0,21.0
0,,2025,7,17,19,3,,3,3928,49,60,B1,3.86,34.43,22.81,20.0,3.2,3.0,1.0,14.0,5.0
0,,2025,7,17,19,3,,4,5218,25,46,A2,5.73,25.37,43.08,15.3,2.8,1.0,3.0,27.0,24.0
0,,2025,7,17,19,3,,5,5397,23,47,B2,1.06,30.77,40.32,0.0,0.0,0.0,0.0,0.0,0.0
0,,2025,7,17,19,3,,6,4734,35,52,A1,6.84,36.92,24.62,11.7,4.3,2.0,0.0,40.0,25.0
1,,2025,7,17,19,4,,1,3574,52,53,A2,5.92,28.79,28.57,78.2,3.0,12.0,6.0,23.0,17.0
0,,2025,7,17,19,4,,2,4853,30,45,B1,4.48,38.81,37.5,46.1,3.3,4.0,8.0,10.0,21.0
0,,2025,7,17,19,4,,3,4251,42,52,B1,4.43,37.88,46.77,22.7,3.7,2.0,3.0,15.0,12.0
0,,2025,7,17,19,4,,4,5259,32,57,B1,2.87,48.33,46.77,14.2,3.7,1.0,2.0,3.0,3.0
0,,2025,7,17,19,4,,5,3554,52,52,A1,6.28,30.3,40.63,16.6,3.0,0.0,1.0,38.0,30.0
0,,2025,7,17,19,4,,6,5367,23,49,B2,1.31,51.56,34.85,0.0,3.9,0.0,0.0,0.0,0.0
1,,2025,7,17,19,5,,1,4335,41,54,A1,6.94,43.94,31.25,80.0,2.2,19.0,5.0,33.0,21.0
0,,2025,7,17,19,5,,2,5146,22,51,B1,4.65,35.71,42.19,29.1,3.5,3.0,4.0,14.0,20.0
0,,2025,7,17,19,5,,3,3831,51,53,B1,4.72,50.0,21.31,15.3,3.5,1.0,1.0,9.0,12.0
0,,2025,7,17,19,5,,4,4899,33,52,B1,4.72,24.14,45.31,16.6,4.5,3.0,1.0,15.0,11.0
0,,2025,7,17,19,5,,5,4302,42,53,A1,6.03,21.74,34.92,16.6,3.4,1.0,2.0,24.0,28.0
0,,2025,7,17,19,5,,6,4596,42,54,A1,6.42,21.43,30.77,22.7,3.9,1.0,4.0,33.0,31.0
1,,2025,7,17,19,6,,1,3939,47,54,A2,6.23,27.69,46.77,85.7,2.5,14.0,4.0,22.0,18.0
0,,2025,7,17,19,6,,2,4367,39,51,B1,4.63,45.0,49.18,40.0,3.8,1.0,3.0,9.0,15.0
0,,2025,7,17,19,6,,3,4009,46,58,A2,5.67,24.62,18.33,30.0,2.2,1.0,5.0,21.0,15.0
0,,2025,7,17,19,6,,4,5087,25,53,A1,5.81,38.33,28.79,50.0,3.3,7.0,7.0,34.0,23.0
0,,2025,7,17,19,6,,5,4005,47,55,B1,2.97,26.23,26.67,0.0,4.1,0.0,0.0,5.0,3.0
0,,2025,7,17,19,6,,6,3434,56,53,B1,4.67,28.07,39.06,0.0,3.8,0.0,0.0,10.0,10.0
1,,2025,7,17,19,7,,1,4674,37,52,A2,5.39,32.86,30.65,70.0,2.6,11.0,3.0,20.0,23.0
0,,2025,7,17,19,7,,2,3863,51,58,B1,4.93,29.31,27.69,40.0,3.4,2.0,6.0,13.0,20.0
0,,2025,7,17,19,7,,3,3952,48,53,A1,6.96,32.26,22.58,47.6,2.7,5.0,5.0,39.0,18.0
0,,2025,7,17,19,7,,4,4951,31,53,A2,5.15,41.43,31.15,31.2,2.6,1.0,4.0,12.0,15.0
0,,2025,7,17,19,7,,5,4890,36,53,B1,5.03,36.62,34.85,21.0,2.6,0.0,4.0,14.0,21.0
0,,2025,7,17,19,7,,6,5373,22,48,B2,1.76,41.67,34.92,0.0,4.4,0.0,0.0,0.0,0.0
1,,2025,7,17,19,8,,1,5015,27,52,A1,6.77,16.13,20.34,88.8,2.5,12.0,4.0,24.0,29.0
0,,2025,7,17,19,8,,2,3807,50,51,B1,4.7,36.23,44.44,4.5,3.7,0.0,1.0,15.0,6.0
0,,2025,7,17,19,8,,3,3315,59,53,B1,5.26,39.66,28.07,18.7,2.9,1.0,2.0,11.0,17.0
0,,2025,7,17,19,8,,4,4981,28,52,B1,5.83,31.34,35.94,8.3,3.8,0.0,1.0,15.0,12.0
0,,2025,7,17,19,8,,5,4693,41,54,B1,4.58,34.48,26.92,20.0,4.1,2.0,3.0,12.0,15.0
0,,2025,7,17,19,8,,6,4251,42,52,B1,4.43,37.88,46.77,0.0,5.3,0.0,0.0,15.0,12.0
1,,2025,7,17,19,9,,1,3611,52,48,A2,6.35,22.06,32.2,80.9,2.4,11.0,6.0,22.0,28.0
0,,2025,7,17,19,9,,2,5189,24,44,B1,4.78,20.0,36.51,35.7,4.7,1.0,4.0,3.0,11.0
0,,2025,7,17,19,9,,3,5146,22,51,B1,4.65,35.71,42.19,15.0,3.2,0.0,3.0,14.0,20.0
0,,2025,7,17,19,9,,4,5291,24,51,B1,3.05,36.21,33.87,9.0,4.7,0.0,2.0,1.0,3.0
0,,2025,7,17,19,9,,5,4853,30,45,B1,4.48,38.81,37.5,10.0,4.3,0.0,2.0,10.0,21.0
0,,2025,7,17,19,9,,6,5397,23,47,B2,1.06,30.77,40.32,0.0,0.0,0.0,0.0,0.0,0.0
1,,2025,7,17,19,10,,1,5087,25,53,A1,5.81,38.33,28.79,88.2,3.1,12.0,3.0,34.0,23.0
1,,2025,7,17,19,10,,2,4596,42,54,A1,6.42,21.43,30.77,61.5,3.3,7.0,9.0,33.0,31.0
0,,2025,7,17,19,10,,3,3574,52,53,A2,5.92,28.79,28.57,21.7,3.0,4.0,1.0,23.0,17.0
0,,2025,7,17,19,10,,4,4143,44,57,B1,4.55,26.15,40.32,26.6,3.1,3.0,1.0,13.0,14.0
0,,2025,7,17,19,10,,5,4425,39,55,B1,4.74,35.0,25.0,15.0,3.1,2.0,1.0,13.0,18.0
0,,2025,7,17,19,10,,6,5218,25,46,A2,5.73,25.37,43.08,5.8,4.3,0.0,1.0,27.0,24.0
1,,2025,7,17,19,11,,1,4302,42,53,A1,6.03,21.74,34.92,82.1,3.1,15.0,8.0,24.0,28.0
0,,2025,7,17,19,11,,2,3805,51,53,B1,5.59,36.07,11.29,41.1,2.5,2.0,5.0,12.0,25.0
0,,2025,7,17,19,11,,3,3939,47,54,A2,6.23,27.69,46.77,23.0,2.9,1.0,2.0,22.0,18.0
0,,2025,7,17,19,11,,4,4121,43,52,A2,5.94,36.36,32.69,45.8,2.5,3.0,8.0,35.0,30.0
0,,2025,7,17,19,11,,5,5066,26,53,B1,5.49,28.13,29.03,35.0,3.4,2.0,5.0,18.0,21.0
0,,2025,7,17,19,11,,6,4951,31,53,A2,5.15,41.43,31.15,9.0,3.6,1.0,0.0,12.0,15.0
1,,2025,7,17,19,12,,1,3952,48,53,A1,6.96,32.26,22.58,86.9,2.2,17.0,3.0,39.0,18.0
0,,2025,7,17,19,12,,2,3554,52,52,A1,6.28,30.3,40.63,51.7,3.6,7.0,8.0,38.0,30.0
0,,2025,7,17,19,12,,3,4335,41,54,A1,6.94,43.94,31.25,35.0,2.0,5.0,2.0,33.0,21.0
0,,2025,7,17,19,12,,4,4734,35,52,A1,6.84,36.92,24.62,35.4,3.0,4.0,7.0,40.0,25.0
0,,2025,7,17,19,12,,5,5015,27,52,A1,6.77,16.13,20.34,46.6,3.2,2.0,5.0,24.0,29.0
0,,2025,7,17,19,12,,6,4009,46,58,A2,5.67,24.62,18.33,0.0,2.3,0.0,0.0,21.0,15.0
1,,2025,7,17,18,1,,1,3349,57,52,A2,5.99,17.54,35.15,81.8,3.0,13.0,5.0,20.0,19.0
0,,2025,7,17,18,1,,2,3839,49,61,B1,4.97,17.65,36.59,30.7,3.6,1.0,3.0,3.0,9.0
0,,2025,7,17,18,1,,3,5277,23,47,B1,5.24,31.11,28.48,20.0,2.6,2.0,3.0,11.0,21.0
0,,2025,7,17,18,1,,4,5003,29,53,B1,3.99,24.32,38.13,20.0,3.4,2.0,2.0,11.0,16.0
0,,2025,7,17,18,1,,5,3741,51,56,B1,3.67,53.33,37.42,18.7,4.3,0.0,3.0,8.0,14.0
0,,2025,7,17,18,1,,6,5315,24,48,B1,2.71,29.09,30.13,9.5,3.4,1.0,1.0,7.0,4.0
1,,2025,7,17,18,2,,1,4509,36,53,A1,6.01,16.67,25.95,88.4,2.7,17.0,6.0,28.0,30.0
0,,2025,7,17,18,2,,2,3587,52,60,B1,4.66,39.47,41.88,28.5,3.4,1.0,3.0,7.0,11.0
0,,2025,7,17,18,2,,3,4286,41,48,A2,5.64,18.0,29.63,22.7,2.5,3.0,2.0,24.0,14.0
0,,2025,7,17,18,2,,4,3661,55,58,A2,5.0,37.5,33.54,36.3,3.4,1.0,7.0,12.0,25.0
0,,2025,7,17,18,2,,5,5230,21,44,B2,4.07,19.23,29.88,0.0,2.6,0.0,0.0,3.0,4.0
0,,2025,7,17,18,2,,6,5173,23,47,B1,4.96,16.67,34.76,0.0,3.4,0.0,0.0,10.0,8.0
1,,2025,7,17,18,3,,1,4566,37,54,A1,7.15,45.65,36.65,85.2,3.1,24.0,5.0,42.0,31.0
0,,2025,7,17,18,3,,2,3484,53,54,A2,8.5,44.68,33.13,37.5,3.3,1.0,2.0,18.0,19.0
0,,2025,7,17,18,3,,3,3977,48,52,B1,4.29,45.61,34.34,22.2,2.7,1.0,3.0,10.0,16.0
0,,2025,7,17,18,3,,4,5071,30,51,B1,4.58,63.27,29.19,28.5,3.0,1.0,3.0,18.0,7.0
0,,2025,7,17,18,3,,5,5241,25,49,B1,4.61,23.64,31.25,15.0,2.6,2.0,1.0,20.0,19.0
0,,2025,7,17,18,3,,6,5106,26,52,B1,4.28,46.55,34.15,5.2,5.1,0.0,1.0,11.0,10.0
1,,2025,7,17,18,4,,1,3333,57,53,A2,5.55,36.21,31.29,84.2,3.1,11.0,5.0,22.0,19.0
0,,2025,7,17,18,4,,2,3175,61,49,B1,4.43,56.52,32.3,40.0,3.3,3.0,5.0,12.0,19.0
0,,2025,7,17,18,4,,3,3907,47,55,B1,5.46,38.78,36.42,21.0,3.0,0.0,4.0,21.0,21.0
0,,2025,7,17,18,4,,4,4270,43,63,B1,4.23,21.74,36.42,7.1,3.7,1.0,0.0,7.0,16.0
0,,2025,7,17,18,4,,5,3662,55,57,A2,5.34,41.67,39.39,5.5,2.8,1.0,0.0,29.0,21.0
0,,2025,7,17,18,4,,6,4446,38,54,A1,6.3,13.73,30.86,10.5,3.6,0.0,2.0,37.0,29.0
0,,2025,7,17,18,5,,1,5277,23,47,B1,5.24,31.11,28.48,42.8,3.4,4.0,2.0,11.0,21.0
0,,2025,7,17,18,5,,2,3233,58,54,B1,4.85,32.73,33.95,4.7,3.1,0.0,1.0,6.0,13.0
0,,2025,7,17,18,5,,3,4623,40,53,B1,4.45,53.19,30.06,21.7,2.5,1.0,4.0,12.0,18.0
0,,2025,7,17,18,5,,4,4409,39,56,A2,6.39,23.68,22.98,50.0,2.9,3.0,8.0,35.0,28.0
0,,2025,7,17,18,5,,5,3784,48,54,B1,4.66,18.87,31.68,7.6,3.2,1.0,0.0,7.0,13.0
0,,2025,7,17,18,5,,6,4055,47,52,A2,5.85,48.94,30.43,8.3,3.9,0.0,1.0,30.0,19.0
0,,2025,7,17,18,6,,1,5230,21,44,B2,4.07,19.23,29.88,40.0,2.0,2.0,0.0,3.0,4.0
1,,2025,7,17,18,6,,2,4015,45,58,A2,6.68,40.0,28.66,58.3,2.4,3.0,4.0,16.0,16.0
0,,2025,7,17,18,6,,3,3690,54,52,B1,4.63,32.73,40.63,50.0,3.3,6.0,6.0,21.0,22.0
0,,2025,7,17,18,6,,4,4314,41,51,A2,5.62,40.0,29.09,40.0,2.0,5.0,3.0,17.0,15.0
0,,2025,7,17,18,6,,5,5003,29,53,B1,3.99,24.32,38.13,22.2,3.2,0.0,4.0,11.0,16.0
0,,2025,7,17,18,6,,6,3983,47,52,A1,6.57,34.88,36.49,6.6,4.1,0.0,1.0,26.0,24.0
1,,2025,7,17,18,7,,1,5241,25,49,B1,4.61,23.64,31.25,76.1,2.7,12.0,4.0,20.0,19.0
0,,2025,7,17,18,7,,2,3741,51,56,B1,3.67,53.33,37.42,15.0,4.1,0.0,3.0,8.0,14.0
0,,2025,7,17,18,7,,3,4950,32,52,B1,5.06,23.81,23.9,31.5,3.5,2.0,4.0,18.0,15.0
0,,2025,7,17,18,7,,4,3563,55,54,B1,5.53,16.33,32.12,25.0,3.7,0.0,7.0,22.0,24.0
0,,2025,7,17,18,7,,5,5173,23,47,B1,4.96,16.67,34.76,18.1,2.7,0.0,2.0,10.0,8.0
0,,2025,7,17,18,7,,6,5071,30,51,B1,4.58,63.27,29.19,5.5,3.1,0.0,1.0,18.0,7.0
0,,2025,7,17,18,8,,1,5315,24,48,B1,2.71,29.09,30.13,25.0,3.5,1.0,2.0,7.0,4.0
0,,2025,7,17,18,8,,2,3662,55,57,A2,5.34,41.67,39.39,42.1,3.9,4.0,4.0,29.0,21.0
0,,2025,7,17,18,8,,3,3839,49,61,B1,4.97,17.65,36.59,40.0,2.3,0.0,4.0,3.0,9.0
0,,2025,7,17,18,8,,4,4286,41,48,A2,5.64,18.0,29.63,23.8,2.8,2.0,3.0,24.0,14.0
0,,2025,7,17,18,8,,5,4270,43,63,B1,4.23,21.74,36.42,5.2,3.5,0.0,1.0,7.0,16.0
0,,2025,7,17,18,8,,6,3327,57,52,A1,6.02,31.58,33.54,0.0,5.0,0.0,0.0,19.0,27.0
1,,2025,7,17,18,9,,1,4409,39,56,A2,6.39,23.68,22.98,90.0,2.6,23.0,4.0,35.0,28.0
0,,2025,7,17,18,9,,2,3784,48,54,B1,4.66,18.87,31.68,7.1,3.6,0.0,1.0,7.0,13.0
0,,2025,7,17,18,9,,3,3661,55,58,A2,5.0,37.5,33.54,22.7,3.6,2.0,3.0,12.0,25.0
0,,2025,7,17,18,9,,4,5106,26,52,B1,4.28,46.55,34.15,5.8,5.1,1.0,0.0,11.0,10.0
0,,2025,7,17,18,9,,5,3484,53,54,A2,8.5,44.68,33.13,16.6,3.6,0.0,2.0,18.0,19.0
0,,2025,7,17,18,9,,6,5165,25,46,B1,5.07,58.97,27.67,0.0,4.5,0.0,0.0,5.0,15.0
1,,2025,7,17,18,10,,1,4055,47,52,A2,5.85,48.94,30.43,76.0,3.0,14.0,5.0,30.0,19.0
0,,2025,7,17,18,10,,2,3907,47,55,B1,5.46,38.78,36.42,31.8,3.1,1.0,6.0,21.0,21.0
0,,2025,7,17,18,10,,3,4314,41,51,A2,5.62,40.0,29.09,35.7,2.4,3.0,2.0,17.0,15.0
0,,2025,7,17,18,10,,4,3983,47,52,A1,6.57,34.88,36.49,36.8,3.0,3.0,4.0,26.0,24.0
0,,2025,7,17,18,10,,5,4509,36,53,A1,6.01,16.67,25.95,25.0,3.7,2.0,3.0,28.0,30.0
0,,2025,7,17,18,10,,6,3349,57,52,A2,5.99,17.54,35.15,0.0,3.4,0.0,0.0,20.0,19.0
1,,2025,7,17,18,11,,1,4446,38,54,A1,6.3,13.73,30.86,85.1,2.4,18.0,5.0,37.0,29.0
0,,2025,7,17,18,11,,2,4623,40,53,B1,4.45,53.19,30.06,24.0,3.4,1.0,5.0,12.0,18.0
0,,2025,7,17,18,11,,3,3563,55,54,B1,5.53,16.33,32.12,21.2,3.0,3.0,4.0,22.0,24.0
1,,2025,7,17,18,11,,4,4566,37,54,A1,7.15,45.65,36.65,55.5,2.5,6.0,4.0,42.0,31.0
0,,2025,7,17,18,11,,5,4015,45,58,A2,6.68,40.0,28.66,0.0,2.8,0.0,0.0,16.0,16.0
0,,2025,7,17,18,11,,6,3333,57,53,A2,5.55,36.21,31.29,27.2,4.2,1.0,2.0,22.0,19.0
1,,2025,7,17,18,12,,1,4044,45,52,A1,7.15,46.67,33.13,76.0,2.7,14.0,5.0,25.0,37.0
0,,2025,7,17,18,12,,2,5026,29,55,A1,6.52,18.6,34.36,37.5,3.2,3.0,3.0,36.0,22.0
1,,2025,7,17,18,12,,3,4713,34,54,A1,6.65,50.0,33.13,53.3,2.2,5.0,3.0,36.0,24.0
0,,2025,7,17,18,12,,4,3478,54,52,B1,5.01,43.75,44.51,18.7,3.8,1.0,2.0,12.0,11.0
0,,2025,7,17,18,12,,5,3909,51,57,A2,6.75,37.5,36.65,43.4,2.0,2.0,8.0,34.0,25.0
0,,2025,7,17,18,12,,6,4704,37,52,A1,6.3,35.42,38.41,10.5,4.1,0.0,2.0,33.0,36.0
1,,2025,7,17,17,1,,1,4411,39,55,A2,5.72,35.43,26.36,84.2,3.1,12.0,4.0,22.0,25.0
0,,2025,7,17,17,1,,2,3430,57,55,B1,3.99,34.46,39.78,26.3,4.0,2.0,3.0,7.0,10.0
