予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数,1着回数,2着回数
1,,2025,7,17,24,9,,1,4804,30,49,A2,5.78,41.67,44.44,66.6,3.6,14.0,0.0,23.0,13.0
1,,2025,7,17,24,9,,2,4645,45,52,A2,6.37,46.15,33.33,50.0,2.9,5.0,5.0,28.0,20.0
0,,2025,7,17,24,9,,3,3946,49,56,A1,7.19,46.15,61.11,38.4,3.7,4.0,6.0,37.0,37.0
0,,2025,7,17,24,9,,4,4977,31,55,A2,6.23,57.14,27.27,33.3,3.8,3.0,2.0,17.0,16.0
0,,2025,7,17,24,9,,5,4477,37,57,A1,6.97,35.29,42.86,12.5,3.6,1.0,2.0,36.0,21.0
0,,2025,7,17,24,9,,6,4278,42,51,A1,6.45,18.75,71.43,23.0,3.3,1.0,2.0,32.0,25.0
1,,2025,7,17,24,10,,1,4825,31,47,A2,6.04,33.33,66.67,85.7,2.5,10.0,2.0,22.0,20.0
0,,2025,7,17,24,10,,2,5224,24,52,A1,6.95,26.67,33.33,50.0,2.8,5.0,7.0,27.0,35.0
0,,2025,7,17,24,10,,3,5145,22,54,A2,5.46,33.33,50.0,34.6,2.5,3.0,6.0,30.0,20.0
0,,2025,7,17,24,10,,4,3779,49,53,A1,7.04,31.25,36.36,43.4,2.7,7.0,3.0,33.0,16.0
0,,2025,7,17,24,10,,5,4930,29,53,A2,6.03,61.11,71.43,15.7,3.0,3.0,0.0,28.0,18.0
1,,2025,7,17,24,10,,6,3876,48,52,A2,7.91,37.5,38.1,63.6,2.4,2.0,5.0,35.0,20.0
1,,2025,7,17,24,11,,1,4787,36,52,A1,7.02,23.08,37.5,83.3,3.5,14.0,1.0,28.0,14.0
0,,2025,7,17,24,11,,2,4931,29,53,A2,5.81,73.68,19.05,40.9,3.0,4.0,5.0,24.0,20.0
1,,2025,7,17,24,11,,3,5034,27,56,A1,6.47,42.86,41.18,77.7,2.4,8.0,6.0,36.0,22.0
0,,2025,7,17,24,11,,4,5017,26,51,A1,6.92,38.89,63.64,36.3,2.5,2.0,6.0,36.0,30.0
0,,2025,7,17,24,11,,5,4985,28,51,A1,6.98,25.0,37.5,29.1,3.0,2.0,5.0,47.0,34.0
0,,2025,7,17,24,11,,6,4075,44,55,A1,7.02,52.94,45.83,20.0,3.7,2.0,2.0,39.0,33.0
1,,2025,7,17,24,12,,1,3908,46,56,A1,6.59,35.71,27.27,81.8,3.0,20.0,7.0,37.0,44.0
0,,2025,7,17,24,12,,2,4816,34,55,A2,5.85,25.0,34.78,35.2,3.4,1.0,5.0,29.0,23.0
1,,2025,7,17,24,12,,3,3721,49,53,A1,7.62,26.67,37.5,55.5,2.6,3.0,7.0,36.0,29.0
0,,2025,7,17,24,12,,4,5141,24,52,A1,5.6,58.33,55.56,44.4,2.1,4.0,4.0,22.0,25.0
0,,2025,7,17,24,12,,5,3978,48,52,A1,6.55,41.18,43.48,16.0,3.4,2.0,2.0,22.0,32.0
0,,2025,7,17,24,12,,6,4824,32,52,A2,6.65,50.0,38.89,0.0,4.0,0.0,0.0,34.0,13.0
1,,2025,7,17,23,1,,1,3606,53,51,A2,5.39,40.95,23.91,80.9,3.3,12.0,5.0,16.0,24.0
0,,2025,7,17,23,1,,2,3922,50,51,B1,3.78,33.33,35.71,13.6,3.8,0.0,3.0,7.0,10.0
0,,2025,7,17,23,1,,3,3964,46,55,B1,4.16,39.57,50.65,15.7,3.6,0.0,3.0,9.0,9.0
0,,2025,7,17,23,1,,4,4213,41,53,B1,5.08,35.82,18.6,15.0,3.2,2.0,1.0,10.0,20.0
0,,2025,7,17,23,1,,5,3867,50,56,B1,3.6,33.82,37.5,0.0,4.2,0.0,0.0,6.0,5.0
0,,2025,7,17,23,1,,6,5417,19,51,B2,1.54,30.05,34.48,0.0,0.0,0.0,0.0,0.0,0.0
1,,2025,7,17,23,2,,1,4812,35,51,A2,5.88,27.44,29.41,82.3,2.9,10.0,4.0,24.0,13.0
0,,2025,7,17,23,2,,2,4292,40,54,A2,6.34,41.92,24.42,25.0,3.2,0.0,4.0,22.0,19.0
