予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
1,,2025,7,14,4,10,,3,4012,45,59,A2,5.85,42.31,37.5,57.1,2.4,2.0,6.0
0,,2025,7,14,4,10,,4,5127,28,50,B1,4.58,47.06,52.17,27.7,3.3,2.0,3.0
0,,2025,7,14,4,10,,5,4219,43,55,B1,3.99,29.41,28.57,0.0,3.6,0.0,0.0
0,,2025,7,14,4,10,,6,4095,44,53,A1,6.18,13.04,64.71,50.0,4.4,4.0,5.0
1,,2025,7,14,4,11,,1,4019,45,53,A1,6.78,41.18,47.06,93.3,3.0,26.0,2.0
0,,2025,7,14,4,11,,2,4348,39,54,A2,6.44,12.5,26.92,52.6,4.4,6.0,4.0
0,,2025,7,14,4,11,,3,4089,44,55,A2,5.95,59.26,40.0,35.7,2.8,4.0,6.0
0,,2025,7,14,4,11,,4,4864,35,54,B1,4.0,33.33,22.73,9.0,3.1,0.0,1.0
0,,2025,7,14,4,11,,5,4133,45,53,A2,5.98,44.44,46.43,18.7,3.4,2.0,1.0
0,,2025,7,14,4,11,,6,5266,25,53,B2,2.88,41.67,26.09,0.0,5.6,0.0,0.0
1,,2025,7,14,4,12,,1,4528,36,53,A1,6.55,33.33,27.27,78.2,3.0,15.0,3.0
0,,2025,7,14,4,12,,2,4902,32,52,B1,4.97,25.0,54.55,27.2,3.5,4.0,2.0
1,,2025,7,14,4,12,,3,4308,41,51,A2,6.2,18.18,20.0,66.6,2.8,4.0,6.0
0,,2025,7,14,4,12,,4,4274,42,51,B1,4.66,22.22,33.33,23.5,2.9,1.0,3.0
0,,2025,7,14,4,12,,5,5075,29,53,A2,6.59,47.83,34.62,0.0,3.8,0.0,0.0
0,,2025,7,14,4,12,,6,3811,49,56,A2,6.06,29.41,26.09,5.2,3.6,0.0,1.0
