予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
0,0,2025,7,14,22,9,6.0,5,5250,23,45,B1,3.42,40.35,33.82,0.0,4.3,0.0,0.0
0,1,2025,7,14,22,9,2.0,6,4123,43,47,A1,6.9,48.48,32.76,26.6,3.7,1.0,3.0
1,1,2025,7,14,22,10,1.0,1,5193,23,46,A2,6.29,43.08,35.48,69.2,2.9,7.0,2.0
0,0,2025,7,14,22,10,3.0,2,4936,28,48,A2,5.5,32.18,24.59,36.3,3.4,1.0,3.0
0,1,2025,7,14,22,10,2.0,3,3579,52,48,B1,5.05,44.19,36.51,7.1,3.1,0.0,1.0
0,0,2025,7,14,22,10,5.0,4,3357,56,49,B1,4.47,35.16,27.12,7.6,3.9,0.0,1.0
0,0,2025,7,14,22,10,4.0,5,5163,25,46,A1,6.18,37.25,37.93,35.7,3.5,1.0,4.0
0,0,2025,7,14,22,10,6.0,6,4478,37,48,A2,6.4,31.08,30.65,10.0,4.2,0.0,1.0
1,1,2025,7,14,22,11,2.0,1,4225,43,46,A1,6.69,27.78,34.78,77.2,3.2,13.0,4.0
0,0,2025,7,14,22,11,4.0,2,4927,31,44,A2,5.99,46.38,43.33,42.8,2.9,4.0,2.0
1,1,2025,7,14,22,11,1.0,3,4530,36,45,A1,6.92,35.06,33.82,57.1,3.1,3.0,5.0
0,0,2025,7,14,22,11,3.0,4,5281,22,47,B1,5.93,44.59,30.51,28.5,2.6,2.0,2.0
0,0,2025,7,14,22,11,6.0,5,4243,39,49,A2,5.29,38.46,35.29,23.8,2.7,2.0,3.0
0,0,2025,7,14,22,11,5.0,6,4045,45,47,B1,4.69,33.82,30.51,8.7,3.7,1.0,1.0
1,1,2025,7,14,22,12,1.0,1,4433,39,47,A1,6.53,29.41,44.12,73.3,3.6,19.0,3.0
0,0,2025,7,14,22,12,5.0,2,4190,44,50,A1,6.01,34.41,43.55,38.8,3.1,2.0,5.0
0,0,2025,7,14,22,12,3.0,3,4456,36,45,A1,6.51,43.86,49.23,42.8,3.5,3.0,6.0
0,0,2025,7,14,22,12,6.0,4,4240,41,45,A1,6.14,29.85,37.5,43.7,2.8,3.0,4.0
0,0,2025,7,14,22,12,4.0,5,4627,39,47,A2,5.65,45.31,27.27,7.1,3.4,1.0,0.0
